"Name","Invert_Elev","MaxDepth","InitDepth","SurDepth","Aponded"
24527,691.2497555,8.8,0,0,8.8
24540,1025.8692968,0,0,0,0
24542,49.6627804000001,0,0,0,0
24552,287.9293819,0,0,0,0
24582,719.8093258,0,0,0,0
24708,284.7415157,0,0,0,0
26301,992.824329,4.6,0,0,4.6
26314,1024.7199431,3.7,0,0,3.7
26352,895.6260372,5,0,0,5
26353,934.291885,0,0,0,0
26420,831.5899654,0,0,0,0
26436,979.2309948,10,0,0,10
26439,133.4931637,5,0,0,5
26446,186.1181637,7,0,0,7
26447,357.639526,0,0,0,0
26629,35.1448361000001,9,0,0,9
26932,594.350494,0,0,0,0
26968,1021.1744534,0,0,0,0
27219,992.2184826,6,0,0,6
27220,999.9625393,3.8,0,0,3.8
27265,867.1752468,1.3,0,0,1.3
27266,924.6991192,5.3,0,0,5.3
27267,927.4671169,0,0,0,0
27270,978.7899433,6.3,0,0,6.3
27271,190.4061276,0,0,0,0
27272,429.8301998,10,0,0,10
27328,698.6329037,4.5,0,0,4.5
27329,574.1919857,10.5,0,0,10.5
27330,820.164352,0,0,0,0
27331,773.9110256,0,0,0,0
27344,160.5320431,7.6,0,0,7.6
27351,273.1702267,0,0,0,0
27354,794.5581966,0,0,0,0
27584,7.4276119000001,0,0,0,0
27817,1021.6663247,0,0,0,0
27818,825.4251095,0,0,0,0
28120,1023.4463538,0,0,0,0
28121,688.7170101,6,0,0,6
28129,1022.0241946,0,0,0,0
28152,960.4029308,0,0,0,0
28161,535.6360775,5,0,0,5
28162,494.1466061,10.5,0,0,10.5
28215,360.3201901,4.4,0,0,4.4
28216,847.300964,0,0,0,0
28217,804.6268917,0,0,0,0
28257,720.0322872,0,0,0,0
28430,143.8060909,10.6,0,0,10.6
29034,999.7018105,3.8,0,0,3.8
29073,781.0501858,0,0,0,0
29074,935.0484615,0,0,0,0
29075,941.3957668,5,0,0,5
29076,901.0339809,0,0,0,0
29077,917.2674557,0,0,0,0
29079,930.0939327,8,0,0,8
29080,960.8359219,0,0,0,0
29081,965.866737,0,0,0,0
29092,497.9973141,0,0,0,0
29143,376.8439938,7.8,0,0,7.8
29144,366.6263424,4.5,0,0,4.5
29154,271.7427364,9.6,0,0,9.6
29155,142.9273068,5,0,0,5
29295,389.3692623,0,0,0,0
29339,104.1900631,0,0,0,0
29924,992.2057339,5.2,0,0,5.2
29944,955.2088543,0,0,0,0
29972,836.7174831,5.7,0,0,5.7
29973,912.4613567,0,0,0,0
29974,892.2602535,0,0,0,0
29975,848.1635433,0,0,0,0
29976,919.1548763,0,0,0,0
29977,946.1314541,0,0,0,0
29978,966.0430561,5.8,0,0,5.8
29984,977.3439098,4.2,0,0,4.2
29985,904.1242977,0,0,0,0
