"Name","Nodes2","Nodes1","Length","Roughness","InOffset","OutOffset","InitFlow","MaxFlow"
18150,21388,52745,0,0.01,0,0,0,0
18151,12990,30602,0,0.01,0,0,0,0
18153,32898,52746,0,0.01,0,0,0,0
18154,35247,52746,0,0.01,0,0,0,0
18155,20513,52745,0,0.01,0,0,0,0
18156,21389,20513,0,0.01,0,0,0,0
18445,48406,29092,0,0.01,0,0,0,0
18454,39236,2639,0,0.01,0,0,0,0
18461,2643,27271,0,0.01,0,0,0,0
18462,52989,20748,0,0.01,0,0,0,0
18463,52076,45579,0,0.01,0,0,0,0
18464,16063,2207,0,0.01,0,0,0,0
18482,26420,49343,0,0.01,0,0,0,0
18483,46606,47515,0,0.01,0,0,0,0
18642,2660,41976,0,0.01,0,0,0,0
18703,21638,21639,0,0.01,0,0,0,0
18750,53969,42046,0,0.01,0,0,0,0
18751,38395,14340,0,0.01,0,0,0,0
18799,2282,12342,0,0.01,0,0,0,0
18800,NA,55719,0,0.01,0,0,0,0
18957,8648,35544,0,0.01,0,0,0,0
19021,50356,3489,0,0.01,0,0,0,0
19051,28120,2273,0,0.01,0,0,0,0
19052,38272,47426,0,0.01,0,0,0,0
19053,47426,2279,0,0.01,0,0,0,0
19180,35829,39462,0,0.77,0,0,0,0
19781,NA,45628,0,0.01,0,0,0,0
19783,NA,10674,0,0.01,0,0,0,0
19790,59090,26932,0,0.01,0,0,0,0
19900,34623,3114,0,0.01,0,0,0,0
20172,28161,2653,0,0.01,0,0,0,0
20180,48394,2562,0,0.01,0,0,0,0
20195,8771,9621,0,0.01,0,0,0,0
20197,2207,25354,0,0.01,0,0,0,0
20206,27219,48341,0,0.01,0,0,0,0
20209,8635,29034,0,0.01,0,0,0,0
20331,14257,2577,0,0.01,0,0,0,0
20350,53052,25422,0,0.01,0,0,0,0
20377,14270,22620,0,0.01,0,0,0,0
20456,58562,17145,0,0.01,0,0,0,0
20457,46619,58562,0,0.01,0,0,0,0
20548,16210,45717,0,0.01,0,0,0,0
20549,36634,24582,0,0.01,0,0,0,0
20592,53147,57626,0,0.01,0,0,0,0
20657,2208,20751,0,0.01,0,0,0,0
20658,57504,14209,0,0.01,0,0,0,0
20659,2277,57504,0,0.01,0,0,0,0
20894,21062,55995,0,1.07,0,0,0,0
21012,10643,31009,0,0.01,0,0,0,0
21540,NA,11448,0,0.01,0,0,0,0
21977,46479,58434,0,0.01,0,0,0,0
21991,3225,39312,0,0.01,0,0,0,0
21996,20748,27219,0,0.01,0,0,0,0
21997,20750,16063,0,0.01,0,0,0,0
22001,46468,35528,0,0.01,0,0,0,0
22025,41955,12375,0,0.01,0,0,0,0
22112,58483,9622,0,0.01,0,0,0,0
22131,56628,41960,0,0.01,0,0,0,0
22137,11505,52130,0,0.01,0,0,0,0
22161,2571,40133,0,0.01,0,0,0,0
22165,18111,24552,0,0.01,0,0,0,0
22183,23530,48396,0,0.01,0,0,0,0
22223,21640,22555,0,0.01,0,0,0,0
22224,26301,44655,0,0.01,0,0,0,0
22240,2641,40145,0,0.01,0,0,0,0
22242,22619,14270,0,0.01,0,0,0,0
22243,NA,48348,0,0.01,0,0,0,0
22262,47528,19012,0,0.01,0,0,0,0
22266,11564,13349,0,0.01,0,0,0,0
22292,24540,2292,0,0.01,0,0,0,0
22293,20764,2293,0,0.01,0,0,0,0
22317,22675,28217,0,0.01,0,0,0,0
22379,20880,41152,0,0.01,0,0,0,0
22448,NA,32856,0,0.01,0,0,0,0
22510,30881,25354,0,0.01,0,0,0,0
22511,55706,56574,0,0.01,0,0,0,0
22512,15135,43756,0,0.01,0,0,0,0
22972,14258,29081,0,0.01,0,0,0,0
23383,31847,55386,0,0.01,0,0,0,0
23702,50187,9573,0,0.01,0,0,0,0
23714,13308,2656,0,0.01,0,0,0,0
23721,2645,41973,0,0.01,0,0,0,0
23758,2567,9612,0,0.01,0,0,0,0
23843,18111,44796,0,0.01,0,0,0,0
23848,2577,22611,0,0.01,0,0,0,0
23953,49564,47744,0,0.71,0,0,0,0
24012,40132,2566,0,0.01,0,0,0,0
24067,23546,2651,0,0.01,0,0,0,0
24068,2288,58434,0,0.01,0,0,0,0
24071,24527,42043,0,0.01,0,0,0,0
24074,16194,18099,0,0.01,0,0,0,0
24131,55819,41136,0,0.01,0,0,0,0
24151,24540,55719,0,0.01,0,0,0,0
24206,41154,44799,0,0.01,0,0,0,0
24232,31856,37398,0,0.01,0,0,0,0
24488,27330,10643,0,0.01,0,0,0,0
24581,40419,58765,0,2.3,0,0,0,0
25106,NA,32006,0,0.01,0,0,0,0
25561,34635,41073,0,0.01,0,0,0,0
25564,16129,14269,0,0.01,0,0,0,0
25565,45640,52143,0,0.01,0,0,0,0
25576,27220,29034,0,0.01,0,0,0,0
25594,13296,29977,0,0.01,0,0,0,0
25657,53065,22618,0,0.01,0,0,0,0
25658,7725,22621,0,0.01,0,0,0,0
25695,44796,34727,0,0.01,0,0,0,0
25698,46516,34623,0,0.01,0,0,0,0
25721,2636,17062,0,0.01,0,0,0,0
