"subc","name","elevation","maxdepth","initdepth","surdepth","aponded"
1,185,538.5176392,0,0,0,0
1,186,530.0808105,0,0,0,0
1,187,522.4837646,0,0,0,0
1,188,516.3605957,0,0,0,0
1,189,511.7369995,0,0,0,0
1,190,510.4096375,0,0,0,0
1,191,508.2347717,0,0,0,0
1,192,507.2136536,0,0,0,0
1,193,499.587677,0,0,0,0
1,194,491.1228638,0,0,0,0
1,195,489.979248,0,0,0,0
1,196,485.0333862,0,0,0,0
1,197,483.6631165,0,0,0,0
1,198,478.9787292,0,0,0,0
1,199,474.4703674,0,0,0,0
1,200,467.5147705,0,0,0,0
1,201,460.4277954,0,0,0,0
1,202,457.3985596,0,0,0,0
1,203,449.8580933,0,0,0,0
1,204,437.2470703,0,0,0,0
1,205,437.2470703,0,0,0,0
1,206,437.2470703,0,0,0,0
2,207,2343.9956055,0,0,0,0
2,208,2336.579834,0,0,0,0
2,209,2314.0249023,0,0,0,0
2,210,2308.3581543,0,0,0,0
2,211,2295.5715332,0,0,0,0
2,212,2266.3300781,0,0,0,0
2,213,2249.9394531,0,0,0,0
2,214,2223.7158203,0,0,0,0
2,215,2208.5273438,0,0,0,0
2,216,2195.3525391,0,0,0,0
2,217,2176.9020996,0,0,0,0
2,218,2173.0385742,0,0,0,0
2,219,2170.612793,0,0,0,0
2,220,2153.4980469,0,0,0,0
2,221,2145.229248,0,0,0,0
2,222,2141.8381348,0,0,0,0
2,223,2130.0275879,0,0,0,0
2,224,2123.064209,0,0,0,0
2,225,2084.8508301,0,0,0,0
2,226,2072.2907715,0,0,0,0
2,227,2003.5931396,0,0,0,0
2,228,1979.5373535,0,0,0,0
2,229,1973.1086426,0,0,0,0
2,230,1967.0871582,0,0,0,0
2,231,1964.6535645,0,0,0,0
2,232,1951.520752,0,0,0,0
2,233,1927.1425781,0,0,0,0
2,234,1920.9064941,0,0,0,0
2,235,1916.9118652,0,0,0,0
2,236,1895.8905029,0,0,0,0
2,237,1867.8096924,0,0,0,0
2,238,1847.9842529,0,0,0,0
2,239,1838.5407715,0,0,0,0
2,240,1821.6905518,0,0,0,0
2,241,1797.819458,0,0,0,0
2,242,1791.1566162,0,0,0,0
2,243,1767.4255371,0,0,0,0
2,244,1759.255249,0,0,0,0
2,245,1741.8793945,0,0,0,0
2,246,1731.2512207,0,0,0,0
2,247,1714.0631104,0,0,0,0
2,248,1701.6030273,0,0,0,0
2,249,1673.4801025,0,0,0,0
2,250,1659.9171143,0,0,0,0
2,251,1649.6842041,0,0,0,0
2,252,1575.7507324,0,0,0,0
2,253,1549.9645996,0,0,0,0
2,254,1503.3764648,0,0,0,0
2,255,1479.2132568,0,0,0,0
2,256,1461.1113281,0,0,0,0
2,257,1446.9112549,0,0,0,0
2,258,1443.2930908,0,0,0,0
2,259,1438.1070557,0,0,0,0
2,260,1435.5126953,0,0,0,0
2,261,1417.6801758,0,0,0,0
2,262,1412.6191406,0,0,0,0
2,263,1406.123291,0,0,0,0
2,264,1403.7036133,0,0,0,0
2,265,1372.7996826,0,0,0,0
2,266,1364.4825439,0,0,0,0
2,267,1355.9290771,0,0,0,0
2,268,1334.8572998,0,0,0,0
2,269,1324.2076416,0,0,0,0
2,270,1315.7734375,0,0,0,0
2,271,1302.3841553,0,0,0,0
2,272,1294.8253174,0,0,0,0
2,273,1283.3934326,0,0,0,0
2,274,1263.5119629,0,0,0,0
2,275,1258.8271484,0,0,0,0
2,276,1248.5083008,0,0,0,0
2,277,1234.9798584,0,0,0,0
2,278,1227.189209,0,0,0,0
2,279,1220.170166,0,0,0,0
2,280,1216.94104,0,0,0,0
2,281,1175.0511475,0,0,0,0
2,282,1164.7817383,0,0,0,0
2,283,1155.7164307,0,0,0,0
2,284,1146.041748,0,0,0,0
2,285,1090.3778076,0,0,0,0
2,286,1072.0041504,0,0,0,0
2,287,1068.3127441,0,0,0,0
2,288,1060.4257813,0,0,0,0
2,289,1050.1485596,0,0,0,0
2,290,1024.1033936,0,0,0,0
2,291,1018.6315918,0,0,0,0
2,292,1008.1074829,0,0,0,0
2,293,997.406189,0,0,0,0
2,294,978.8788452,0,0,0,0
2,295,942.5405884,0,0,0,0
2,296,927.730835,0,0,0,0
2,297,921.9819946,0,0,0,0
2,298,915.4495239,0,0,0,0
2,299,908.8837891,0,0,0,0
2,300,903.5892334,0,0,0,0
2,301,899.0880737,0,0,0,0
2,302,897.4997559,0,0,0,0
2,303,895.4521484,0,0,0,0
2,304,893.8513794,0,0,0,0
2,305,889.9661865,0,0,0,0
2,306,880.291687,0,0,0,0
2,307,873.3173828,0,0,0,0
2,308,868.8839111,0,0,0,0
2,309,862.7019653,0,0,0,0
2,310,853.2414551,0,0,0,0
2,311,853.2414551,0,0,0,0
2,312,853.2414551,0,0,0,0
3,313,2182.1132813,0,0,0,0
3,314,2164.8479004,0,0,0,0
3,315,2132.5187988,0,0,0,0
