"name","from_node","to_node","length","roughness","inoffset","outoffset","initflow","maxflow"
"27_16608",554,555,62.0148639494937,0.01,0,0,0,0
"27_42767",1319,1320,18.890738560802,0.01,0,0,0,0
"27_53715",1515,1516,18.2374222630238,0.01,0,0,0,0
"28_16608",555,556,43.295559197247,0.01,0,0,0,0
"28_42767",1320,1321,18.7599934828282,0.01,0,0,0,0
"28_47318",1413,1414,80.2994197830347,0.01,0,0,0,0
"28_50621",1598,1599,11.3686331593295,0.01,0,0,0,0
"28_53715",1516,1517,29.7093730905694,0.01,0,0,0,0
"29_47318",1414,1415,128.39632437821,0.01,0,0,0,0
"29_53715",1517,1518,13.9273069340231,0.01,0,0,0,0
"3_16714",1332,1333,89.9098108963899,0.01,0,0,0,0
"3_26829",1641,1492,153.521094539534,0.01,0,0,0,0
"3_26829",1491,1492,27.7655508997277,0.01,0,0,0,0
"3_29904",809,810,327.26633084412,0.01,0,0,0,0
"3_31722",801,802,116.060261010847,0.83,0,0,0,0
"3_3252",1376,1377,41.9157375904068,0.01,0,0,0,0
"3_3511",926,927,12.2892419392741,0.01,0,0,0,0
"3_35784",1384,1385,17.471296819442,0.01,0,0,0,0
"3_38036",295,296,179.356270983031,0.01,0,0,0,0
"3_3822",258,259,135.893045750301,0.01,0,0,0,0
"3_41645",1622,1623,76.2971353881431,0.01,0,0,0,0
"3_41809",916,917,95.0103522120937,0.01,0,0,0,0
"3_43372",86,87,137.632342879258,0.01,0,0,0,0
"3_44701",390,391,56.5126852614167,0.01,0,0,0,0
"3_47391",319,320,75.4898893423331,0.01,0,0,0,0
"3_53720",530,908,268.812502737834,0.01,0,0,0,0
"3_55355",559,560,49.7475615931644,0.01,0,0,0,0
"3_6456",1573,1574,190.081476507199,0.01,0,0,0,0
"3_8522",1839,1840,84.1374687218915,0.01,0,0,0,0
"30_38058",1809,1810,36.6394642594662,0.01,0,0,0,0
"30_53715",1518,1519,48.8791091267808,0.01,0,0,0,0
"31_42767",1323,1324,18.0432784870391,0.01,0,0,0,0
"31_53715",1519,1520,133.126893502244,0.01,0,0,0,0
"31_6227",1416,1417,19.7333758441471,0.01,0,0,0,0
"32_16611",64,65,61.906540982671,0.01,0,0,0,0
"32_3911",1602,1603,9.21492861756547,0.01,0,0,0,0
"32_42767",1324,1325,17.8461792195233,0.01,0,0,0,0
