"subc","nodes","x_coord","y_coord"
10,115,-157.756259623483,21.2935621885442
10,116,-157.756259623483,21.2935621885442
10,117,-157.75520931246,21.2942504567932
10,118,-157.755865471314,21.2934472183145
10,119,-157.755865471314,21.2934472183145
10,120,-157.755194220937,21.2941249779854
10,121,-157.755182937143,21.2940102577672
10,122,-157.755183120604,21.2938991393339
10,123,-157.755190989672,21.2937665244056
10,124,-157.755210326895,21.2936375112622
10,125,-157.755225810523,21.2935264153119
10,126,-157.755245046122,21.2934583375323
10,127,-157.755353882975,21.2932974263352
10,128,-157.755296897434,21.2932859141137
10,129,-157.755296897434,21.2932859141137
11,130,-157.748145216928,21.2816715682883
11,131,-157.74830915974,21.2815535070887
11,132,-157.74830915974,21.2815535070887
11,133,-157.748690987599,21.2817646571133
11,134,-157.748743924393,21.281724390868
11,135,-157.748743924393,21.281724390868
11,136,-157.748743924393,21.281724390868
11,137,-157.748671742107,21.281639802435
11,138,-157.748779948536,21.2816975604941
11,139,-157.74844626948,21.2814539224606
11,140,-157.748459118094,21.2814548658494
11,141,-157.748459118094,21.2814548658494
11,142,-157.748493600799,21.2814710266666
11,143,-157.748554491197,21.2815034004616
11,144,-157.748554491197,21.2815034004616
11,145,-157.748554491197,21.2815034004616
11,146,-157.748747843638,21.2813613165716
11,147,-157.748886791592,21.2812606158848
11,148,-157.748909193704,21.2812565212715
11,149,-157.748909193704,21.2812565212715
11,150,-157.749146768509,21.2812340382204
11,151,-157.749465838078,21.2812156138096
11,152,-157.749576352167,21.2812116289136
11,153,-157.749576352167,21.2812116289136
11,154,-157.74978239674,21.2811625160373
11,155,-157.750923896321,21.2820003892066
11,156,-157.750965041204,21.2819856106474
11,157,-157.750965041204,21.2819856106474
11,158,-157.750965041204,21.2819856106474
11,159,-157.751059091404,21.281948759128
11,160,-157.750873203336,21.2817982135168
11,161,-157.750151141262,21.2810807406837
11,162,-157.750777357189,21.2815927013422
11,163,-157.750268956047,21.2811025744243
11,164,-157.750259487086,21.2810575031014
11,165,-157.750259487086,21.2810575031014
11,166,-157.750259487086,21.2810575031014
11,167,-157.750259487086,21.2810575031014
11,168,-157.750249255499,21.2810289703108
11,169,-157.749600793941,21.2804357190333
11,170,-157.74958363128,21.2803808289122
11,171,-157.74958363128,21.2803808289122
11,172,-157.74958363128,21.2803808289122
11,173,-157.749572971615,21.2803455539042
11,174,-157.750648944793,21.281322554892
11,175,-157.75050041726,21.2810074513329
11,176,-157.75050041726,21.2810074513329
11,177,-157.75050041726,21.2810074513329
11,178,-157.749728333096,21.2803500118436
11,179,-157.750411542659,21.2808051533352
11,180,-157.750308767236,21.2805727262503
11,181,-157.750308767236,21.2805727262503
11,182,-157.750308767236,21.2805727262503
11,183,-157.750000110017,21.2802913634557
11,184,-157.750410539914,21.2805286163027
11,185,-157.750217328667,21.2803677140988
11,186,-157.750169787805,21.2802564095057
11,187,-157.750169787805,21.2802564095057
11,188,-157.750169787805,21.2802564095057
11,189,-157.750096230457,21.2801151071266
11,190,-157.750065143591,21.2800449690002
11,191,-157.749988473689,21.280007777537
11,192,-157.750039539893,21.2799879384926
11,193,-157.750039539893,21.2799879384926
11,194,-157.750039539893,21.2799879384926
11,195,-157.749917364295,21.2797232203504
11,196,-157.749540502492,21.2796161299805
11,197,-157.749526282412,21.2795584483637
11,198,-157.749526282412,21.2795584483637
11,199,-157.749526282412,21.2795584483637
