"subc","name","elevation","maxdepth","initdepth","surdepth","aponded"
11,156,24.5856285,0,0,0,0
11,157,24.5856285,0,0,0,0
11,158,24.5856285,0,0,0,0
11,159,23.268568,0,0,0,0
11,160,21.5407085,0,0,0,0
11,161,19.8730335,0,0,0,0
11,162,18.9013462,0,0,0,0
11,163,18.5166092,0,0,0,0
11,164,18.1219234,0,0,0,0
11,165,18.1219234,0,0,0,0
11,166,18.1219234,0,0,0,0
11,167,18.1219234,0,0,0,0
11,168,17.9252033,0,0,0,0
11,169,16.8178062,0,0,0,0
11,170,16.0661526,0,0,0,0
11,171,16.0661526,0,0,0,0
11,172,16.0661526,0,0,0,0
11,173,15.5728598,0,0,0,0
11,174,15.2151871,0,0,0,0
11,175,14.3737431,0,0,0,0
11,176,14.3737431,0,0,0,0
11,177,14.3737431,0,0,0,0
11,178,14.3400927,0,0,0,0
11,179,13.403327,0,0,0,0
11,180,11.976078,0,0,0,0
11,181,11.976078,0,0,0,0
11,182,11.976078,0,0,0,0
11,183,11.2610493,0,0,0,0
11,184,10.4907637,0,0,0,0
11,185,10.4389477,0,0,0,0
11,186,9.4753103,0,0,0,0
11,187,9.4753103,0,0,0,0
11,188,9.4753103,0,0,0,0
11,189,8.2311878,0,0,0,0
11,190,7.5244365,0,0,0,0
11,191,7.4951811,0,0,0,0
11,192,6.9285641,0,0,0,0
11,193,6.9285641,0,0,0,0
11,194,6.9285641,0,0,0,0
11,195,3.9009719,0,0,0,0
11,196,3.5715611,0,0,0,0
11,197,2.6397309,0,0,0,0
11,198,2.6397309,0,0,0,0
11,199,2.6397309,0,0,0,0
11,200,2.3453629,0,0,0,0
11,201,1.8715532,0,0,0,0
11,202,1.6801,0,0,0,0
11,203,0.9032624,0,0,0,0
11,204,0.9032624,0,0,0,0
11,205,0.9032624,0,0,0,0
11,206,0.3907967,0,0,0,0
11,207,-0.1997249,0,0,0,0
11,208,-0.2924904,0,0,0,0
11,209,-0.310987,0,0,0,0
11,210,-0.310987,0,0,0,0
11,211,-0.5393267,0,0,0,0
