"subc","nodes","x_coord","y_coord"
NA,50,-157.762150279112,21.2883275199991
NA,51,-157.762085565696,21.2881017407028
NA,52,-157.762073782779,21.2879089638276
NA,53,-157.762102969377,21.2874739320764
NA,54,-157.762067687174,21.2873362674548
NA,55,-157.762055969907,21.2873197397143
NA,56,-157.762032392381,21.2871656309891
NA,57,-157.762014704515,21.2871600794741
NA,58,-157.761979477171,21.2870389488884
NA,59,-157.761932456118,21.2869563947219
NA,60,-157.761908866901,21.2868957858119
NA,61,-157.761797216968,21.2868076963182
NA,62,-157.761779615437,21.2867801941507
NA,63,-157.761714973068,21.28674168608
NA,64,-157.761620954344,21.2866315038409
NA,65,-157.761620886894,21.2865819988602
NA,66,-157.761538617813,21.2864498605726
NA,67,-157.761432753219,21.2862350700925
NA,68,-157.761403322905,21.2861469545184
NA,69,-157.76137983711,21.2861084788233
NA,70,-157.761373996013,21.2860808831263
NA,71,-157.761291636999,21.2859597651311
NA,72,-157.761244620443,21.2858882321563
NA,73,-157.761244612349,21.2858661897729
NA,74,-157.761203531318,21.2858111422705
NA,75,-157.761179978973,21.2857230698638
NA,76,-157.761150619705,21.2856954822607
NA,77,-157.761109413668,21.2855633745501
NA,78,-157.761085882907,21.285530319069
NA,79,-157.761085866719,21.2854862343023
NA,80,-157.761068273282,21.2854807745182
NA,81,-157.761033018059,21.2854091471145
NA,82,-157.761009470211,21.2853320967989
NA,83,-157.760980110943,21.2853045973293
NA,84,-157.760974219485,21.2852714905869
NA,85,-157.760956525323,21.285255009611
NA,86,-157.760956517229,21.2852329672277
NA,87,-157.760938920195,21.2852164862519
NA,88,-157.760938862638,21.285188932823
NA,89,-157.760897769017,21.2851008208463
NA,90,-157.760874176202,21.2850292806768
NA,91,-157.760838931771,21.2849907177475
NA,92,-157.760821241207,21.2848474917184
NA,93,-157.760791869349,21.2847869304725
NA,94,-157.760750763137,21.2846658448529
NA,95,-157.760727191906,21.2845226664879
NA,96,-157.76069192859,21.2844290884318
NA,97,-157.760686032634,21.2843849604976
NA,98,-157.760662451511,21.2843464821045
NA,99,-157.760644865268,21.2842253002574
NA,100,-157.760627222368,21.2842143303271
NA,101,-157.760627160315,21.2841757557066
NA,102,-157.760615443948,21.284159227966
NA,103,-157.760562475678,21.2838894493387
NA,104,-157.760562234659,21.2831019741768
NA,105,-157.760597402648,21.2828045701748
NA,106,-157.760603109746,21.2822043185745
NA,107,-157.76058543447,21.2821051782115
NA,108,-157.760503090745,21.2818904704689
NA,109,-157.760497186696,21.2818243900836
NA,110,-157.760479535702,21.2817913759713
NA,111,-157.76045603282,21.2816977034863
NA,112,-157.76045593929,21.2814443959422
NA,113,-157.76047924612,21.2808717364416
NA,114,-157.760461692253,21.2808386332964
NA,115,-157.760449710586,21.2802329210126
NA,116,-157.760443812832,21.2800512075972
NA,117,-157.760384989076,21.2798364027279
NA,118,-157.760373138709,21.2797207732951
NA,119,-157.760326096972,21.2795720910792
NA,120,-157.760326111361,21.2794785022311
NA,121,-157.760326016033,21.2793518480094
NA,122,-157.760384732769,21.2791426072456
NA,123,-157.760490423794,21.2790324510868
NA,124,-157.760502167141,21.2789883618235
NA,125,-157.760584395753,21.2788947468951
NA,126,-157.760713622036,21.2787019250538
NA,127,-157.760801693543,21.2785091607692
NA,128,-157.760825178439,21.2784210730741
NA,129,-157.760825170345,21.2782723773684
NA,130,-157.760807516654,21.2782283429637
NA,131,-157.760719339926,21.2781347352299
NA,132,-157.760572396099,21.2779806202095
NA,133,-157.760507736643,21.2778870052811
NA,134,-157.760407681669,21.277336291037
NA,135,-157.760313626073,21.2772427309673
NA,136,-157.759919942451,21.2769510169759
NA,137,-157.759690725047,21.2767582616845
NA,138,-157.759631946257,21.2766646899236
NA,139,-157.759620171434,21.2766206087541
NA,140,-157.759579022054,21.27650503418
NA,141,-157.759555484998,21.2764499345169
NA,142,-157.759531932653,21.2763508418179
NA,143,-157.75952611314,21.2762516978576
NA,144,-157.759508454951,21.2761966422613
NA,145,-157.759520115561,21.2760589632506
NA,146,-157.759537791736,21.2760314502913
1,147,-157.754650996246,21.3116292851634
1,148,-157.754727390956,21.3114640824015
1,149,-157.754791914615,21.3112547975709
1,150,-157.754774218655,21.3107922303772
1,151,-157.754727155334,21.3107371370093
1,152,-157.754727176918,21.3106545702523
1,153,-157.754680064134,21.3104453609647
1,154,-157.754638838312,21.3101094533886
1,155,-157.754650625726,21.3100378133944
1,156,-157.75465055378,21.3099662651311
1,157,-157.754679982295,21.3098946647071
1,158,-157.754697606309,21.3098395992182
1,159,-157.754715135895,21.3097955540217
1,160,-157.754726919712,21.3097128928358
1,161,-157.754726827081,21.309426522616
1,162,-157.754715051359,21.3093825322781
1,163,-157.754668032104,21.3093109075724
1,164,-157.754638625172,21.3091512455336
1,165,-157.754620930112,21.3091347636584
1,166,-157.754621019145,21.3091127212751
1,167,-157.754591551959,21.3090631794223
1,168,-157.754573896468,21.309019054186
1,169,-157.754562173805,21.308991595186
1,170,-157.754562142329,21.3088924044609
1,171,-157.754526893401,21.3088539305645
1,172,-157.754544351041,21.3084298363679
1,173,-157.754591283961,21.3080884384307
1,174,-157.754608828834,21.3077910883881
1,175,-157.754591173344,21.3075983582777
1,176,-157.754608782969,21.3074992080221
1,177,-157.754608638178,21.3069100279754
1,178,-157.754620321271,21.3068163446986
1,179,-157.754667315344,21.3066621253569
1,180,-157.75476130529,21.3065134944023
1,181,-157.754878771138,21.3063702755678
1,182,-157.754914085716,21.3063206707624
1,183,-157.755219563832,21.3061278920886
1,184,-157.755290054492,21.3060452138156
1,185,-157.755366455497,21.3059130737294
1,186,-157.755442797147,21.3057423581234
1,187,-157.755460390585,21.3055991240004
1,188,-157.755477945351,21.3054835314398
1,189,-157.755460324934,21.305400923314
1,190,-157.755442676638,21.3053789312927
1,191,-157.755430951277,21.3053403602694
1,192,-157.755413256217,21.3053238783943
1,193,-157.755383857379,21.3051861688067
1,194,-157.75537207716,21.3049824606721
1,195,-157.755383825903,21.3049493934998
1,196,-157.755401374374,21.3048116686236
1,197,-157.755413169882,21.3047731821367
1,198,-157.755507115761,21.3046409907892
1,199,-157.755583521262,21.3045197810631
1,200,-157.755765561132,21.3043435238346
1,201,-157.755859541185,21.3041728495974
1,202,-157.755888967002,21.3041012491734
1,203,-157.755900618619,21.3039194862953
1,204,-157.755859399991,21.3036056211026
1,205,-157.755859399991,21.3036056211026
1,206,-157.755859399991,21.3036056211026
2,207,-157.749676718306,21.3254578437046
2,208,-157.749858861597,21.3253752760482
2,209,-157.750135028109,21.3251879841382
2,210,-157.750164374786,21.3251494472892
2,211,-157.750270217796,21.3250832940588
2,212,-157.7505345888,21.3249455988603
2,213,-157.750669783883,21.3248629511643
2,214,-157.750840196418,21.3247087480104
2,215,-157.750869567377,21.3245875526734
2,216,-157.750945953093,21.3245159414576
2,217,-157.750992913892,21.3243782552523
2,218,-157.751004619468,21.3243507899571
2,219,-157.751004613172,21.3243287475737
2,220,-157.751080988097,21.3242240718835
