"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
"1_50","Trapezoidal",30,10,1,1,1,0
"1_51","Trapezoidal",30,10,1,1,1,0
"1_52","Trapezoidal",30,10,1,1,1,0
"1_53","Trapezoidal",30,10,1,1,1,0
"1_54","Trapezoidal",30,10,1,1,1,0
"1_55","Trapezoidal",30,10,1,1,1,0
"1_56","Trapezoidal",30,10,1,1,1,0
"1_57","Trapezoidal",30,10,1,1,1,0
"1_58","Trapezoidal",30,10,1,1,1,0
"1_59","Trapezoidal",30,10,1,1,1,0
"1_6","Trapezoidal",30,10,1,1,1,0
"1_7","Trapezoidal",30,10,1,1,1,0
"1_8","Trapezoidal",30,10,1,1,1,0
"1_9","Trapezoidal",30,10,1,1,1,0
"15_1","Trapezoidal",30,10,1,1,1,0
"2_1","Trapezoidal",30,10,1,1,1,0
"2_10","Trapezoidal",30,10,1,1,1,0
"2_100","Trapezoidal",30,10,1,1,1,0
"2_101","Trapezoidal",30,10,1,1,1,0
"2_102","Trapezoidal",30,10,1,1,1,0
"2_103","Trapezoidal",30,10,1,1,1,0
"2_104","Trapezoidal",30,10,1,1,1,0
"2_105","Trapezoidal",30,10,1,1,1,0
"2_11","Trapezoidal",30,10,1,1,1,0
"2_12","Trapezoidal",30,10,1,1,1,0
"2_13","Trapezoidal",30,10,1,1,1,0
"2_14","Trapezoidal",30,10,1,1,1,0
"2_15","Trapezoidal",30,10,1,1,1,0
"2_16","Trapezoidal",30,10,1,1,1,0
"2_17","Trapezoidal",30,10,1,1,1,0
"2_18","Trapezoidal",30,10,1,1,1,0
"2_19","Trapezoidal",30,10,1,1,1,0
"2_2","Trapezoidal",30,10,1,1,1,0
"2_20","Trapezoidal",30,10,1,1,1,0
"2_21","Trapezoidal",30,10,1,1,1,0
"2_22","Trapezoidal",30,10,1,1,1,0
"2_23","Trapezoidal",30,10,1,1,1,0
"2_24","Trapezoidal",30,10,1,1,1,0
"2_25","Trapezoidal",30,10,1,1,1,0
"2_26","Trapezoidal",30,10,1,1,1,0
"2_27","Trapezoidal",30,10,1,1,1,0
"2_28","Trapezoidal",30,10,1,1,1,0
"2_29","Trapezoidal",30,10,1,1,1,0
"2_3","Trapezoidal",30,10,1,1,1,0
"2_30","Trapezoidal",30,10,1,1,1,0
"2_31","Trapezoidal",30,10,1,1,1,0
"2_32","Trapezoidal",30,10,1,1,1,0
"2_33","Trapezoidal",30,10,1,1,1,0
"2_34","Trapezoidal",30,10,1,1,1,0
"2_35","Trapezoidal",30,10,1,1,1,0
"2_36","Trapezoidal",30,10,1,1,1,0
"2_37","Trapezoidal",30,10,1,1,1,0
"2_38","Trapezoidal",30,10,1,1,1,0
"2_39","Trapezoidal",30,10,1,1,1,0
"2_4","Trapezoidal",30,10,1,1,1,0
"2_40","Trapezoidal",30,10,1,1,1,0
"2_41","Trapezoidal",30,10,1,1,1,0
"2_42","Trapezoidal",30,10,1,1,1,0
"2_43","Trapezoidal",30,10,1,1,1,0
"2_44","Trapezoidal",30,10,1,1,1,0
"2_45","Trapezoidal",30,10,1,1,1,0
"2_46","Trapezoidal",30,10,1,1,1,0
"2_47","Trapezoidal",30,10,1,1,1,0
"2_48","Trapezoidal",30,10,1,1,1,0
"2_49","Trapezoidal",30,10,1,1,1,0
"2_5","Trapezoidal",30,10,1,1,1,0
"2_50","Trapezoidal",30,10,1,1,1,0
"2_51","Trapezoidal",30,10,1,1,1,0
"2_52","Trapezoidal",30,10,1,1,1,0
"2_53","Trapezoidal",30,10,1,1,1,0
"2_54","Trapezoidal",30,10,1,1,1,0
"2_55","Trapezoidal",30,10,1,1,1,0
"2_56","Trapezoidal",30,10,1,1,1,0
"2_57","Trapezoidal",30,10,1,1,1,0
"2_58","Trapezoidal",30,10,1,1,1,0
"2_59","Trapezoidal",30,10,1,1,1,0
"2_6","Trapezoidal",30,10,1,1,1,0
"2_60","Trapezoidal",30,10,1,1,1,0
"2_61","Trapezoidal",30,10,1,1,1,0
"2_62","Trapezoidal",30,10,1,1,1,0
"2_63","Trapezoidal",30,10,1,1,1,0
"2_64","Trapezoidal",30,10,1,1,1,0
"2_65","Trapezoidal",30,10,1,1,1,0
"2_66","Trapezoidal",30,10,1,1,1,0
"2_67","Trapezoidal",30,10,1,1,1,0
"2_68","Trapezoidal",30,10,1,1,1,0
"2_69","Trapezoidal",30,10,1,1,1,0
"2_7","Trapezoidal",30,10,1,1,1,0
"2_70","Trapezoidal",30,10,1,1,1,0
"2_71","Trapezoidal",30,10,1,1,1,0
"2_72","Trapezoidal",30,10,1,1,1,0
"2_73","Trapezoidal",30,10,1,1,1,0
"2_74","Trapezoidal",30,10,1,1,1,0
"2_75","Trapezoidal",30,10,1,1,1,0
"2_76","Trapezoidal",30,10,1,1,1,0
"2_77","Trapezoidal",30,10,1,1,1,0
"2_78","Trapezoidal",30,10,1,1,1,0
